face_id,candidate_path,candidate_id,input_ssim,input_psnr,input_mse,input_l2,model,prompt,seed,steps,guidance_scale,output_ssim,output_psnr,output_mse,output_l2,original_path,perturbed_path,clean_edit_path,perturbed_edit_path,strip_path
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add black sunglasses,1234,10,1.0,0.7389674186706543,19.59975949100973,0.01096538919955492,0.10471575430447379,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add black sunglasses,1234,10,1.0,0.710506021976471,19.904509838979894,0.01022230926901102,0.10110543639691696,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add over-ear headphones,1234,10,1.0,0.5667949318885803,17.661920978563245,0.017131993547081947,0.13088924152535206,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add over-ear headphones,1234,10,1.0,0.5328252911567688,17.19293609326241,0.019085625186562538,0.13815073357229246,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a blue medical mask,1234,10,1.0,0.6682102084159851,17.930107938856196,0.016106056049466133,0.12690963733880156,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a blue medical mask,1234,10,1.0,0.6349717974662781,17.460878012190925,0.01794370822608471,0.13395412732008188,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a red scarf,1234,10,1.0,0.809316873550415,22.991833732583196,0.005021305289119482,0.0708611691204674,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a red scarf,1234,10,1.0,0.7713447213172913,21.919929085777326,0.006426982115954161,0.08016846085558935,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a royal blue scarf,1234,10,1.0,0.7963550090789795,21.29403106716945,0.007423297967761755,0.08615856293927932,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a royal blue scarf,1234,10,1.0,0.7608461380004883,20.583177220105746,0.008743438869714737,0.09350635737592786,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg
