case,run,seed,comparison,edit_ssim,edit_psnr,edit_l2,left_path,right_path
image2_black_jacket,combined_all,1234,geometry_increment_after_delta,0.6619985699653625,19.41909080402568,0.10691667884577333,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_1234\joint_delta_only_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_1234\combined_edit.png
image2_black_jacket,combined_all,1234,learned_geometry_vs_neutral_original,0.6505931615829468,19.242679983085115,0.10911036305319557,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_1234\neutral_geometry_on_original_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_1234\joint_geometry_on_original_edit.png
image2_black_jacket,combined_all,1234,learned_geometry_vs_vae_reconstruction,0.7799453735351562,24.647977742911202,0.05856000604135813,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_1234\vae_reconstruction_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_1234\joint_geometry_on_reconstruction_edit.png
image2_black_jacket,combined_all,24001,geometry_increment_after_delta,0.6803328990936279,14.228278364146945,0.19435068774196101,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_24001\joint_delta_only_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_24001\combined_edit.png
image2_black_jacket,combined_all,24001,learned_geometry_vs_neutral_original,0.7831408977508545,24.876420748205597,0.05703992720461718,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_24001\neutral_geometry_on_original_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_24001\joint_geometry_on_original_edit.png
image2_black_jacket,combined_all,24001,learned_geometry_vs_vae_reconstruction,0.768444836139679,18.48629254787667,0.11903793177224434,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_24001\vae_reconstruction_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_24001\joint_geometry_on_reconstruction_edit.png
image2_black_jacket,combined_all,34007,geometry_increment_after_delta,0.8156585693359375,25.134459800089914,0.05537031701298357,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_34007\joint_delta_only_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_34007\combined_edit.png
image2_black_jacket,combined_all,34007,learned_geometry_vs_neutral_original,0.7909387946128845,24.42557112708288,0.060078826845630776,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_34007\neutral_geometry_on_original_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_34007\joint_geometry_on_original_edit.png
image2_black_jacket,combined_all,34007,learned_geometry_vs_vae_reconstruction,0.8012694716453552,23.680333837985902,0.065461101392465,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_34007\vae_reconstruction_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_all\seed_34007\joint_geometry_on_reconstruction_edit.png
image2_black_jacket,combined_bspline,1234,geometry_increment_after_delta,0.9978153705596924,50.37260412842456,0.0030294918855229723,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_1234\joint_delta_only_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_1234\combined_edit.png
image2_black_jacket,combined_bspline,1234,learned_geometry_vs_neutral_original,0.9832233786582947,41.29927728373792,0.008610653948257666,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_1234\neutral_geometry_on_original_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_1234\joint_geometry_on_original_edit.png
image2_black_jacket,combined_bspline,1234,learned_geometry_vs_vae_reconstruction,0.9976539611816406,50.34902528728076,0.0030377269603086665,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_1234\vae_reconstruction_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_1234\joint_geometry_on_reconstruction_edit.png
image2_black_jacket,combined_bspline,24001,geometry_increment_after_delta,0.7230382561683655,13.053955878436962,0.22248575308278043,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_24001\joint_delta_only_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_24001\combined_edit.png
image2_black_jacket,combined_bspline,24001,learned_geometry_vs_neutral_original,0.977534294128418,37.72401917757824,0.012995680963417706,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_24001\neutral_geometry_on_original_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_24001\joint_geometry_on_original_edit.png
image2_black_jacket,combined_bspline,24001,learned_geometry_vs_vae_reconstruction,0.9532422423362732,20.622826844106847,0.0930804893429658,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_24001\vae_reconstruction_edit.png,targeted_experiments\geometry_family_attribution\seed_replays\combined_bspline\seed_24001\joint_geometry_on_reconstruction_edit.png
